Index,TIME STAMP,FRAME TYPE,PACKET INFO,START,MISO,MOSI,STOP,ERROR,FREQUENCY
0,18.938124s,SPI_Message,Data,-,0x00,0xC0,-,-,1.5969 MHz
,18.938129s,-,Data,-,0x00,0xDE,-,-,1.6377 MHz
,18.938134s,-,Data,-,0x00,0x00,-,-,1.6261 MHz
,18.938139s,-,Data,-,0x01,0x00,-,-,1.6294 MHz
,18.938144s,-,Data,-,0x81,0x00,TRUE,-,1.6360 MHz
1,18.938150s,SPI_Message,Data,-,0x00,0x80,-,-,1.6162 MHz
,18.938155s,-,Data,-,0x00,0xFE,-,-,1.6146 MHz
,18.938160s,-,Data,-,0x00,0x00,-,-,1.6377 MHz
,18.938165s,-,Data,-,0x01,0x00,-,-,1.6261 MHz
,18.938170s,-,Data,-,0x81,0x00,TRUE,-,1.6327 MHz
2,18.938176s,SPI_Message,Data,-,0x00,0x00,-,-,1.6327 MHz
,18.938181s,-,Data,-,0x00,0xD6,-,-,1.6261 MHz
,18.938186s,-,Data,-,0x00,0x00,-,-,1.6327 MHz
,18.938190s,-,Data,-,0x01,0x00,-,-,1.6377 MHz
,18.938195s,-,Data,-,0x00,0x03,TRUE,-,1.6178 MHz
3,18.938201s,SPI_Message,Data,-,0x00,0xC0,-,-,1.6130 MHz
,18.938206s,-,Data,-,0x00,0xFC,-,-,1.6344 MHz
,18.938211s,-,Data,-,0x00,0x00,-,-,1.6360 MHz
,18.938216s,-,Data,-,0x01,0x00,-,-,1.6033 MHz
,18.938221s,-,Data,-,0xA1,0x00,TRUE,-,1.6130 MHz
4,18.938226s,SPI_Message,Data,-,0x00,0xC3,-,-,1.6049 MHz
,18.938231s,-,Data,-,0x00,0xD4,-,-,1.6195 MHz
,18.938236s,-,Data,-,0x00,0x00,-,-,1.6113 MHz
,18.938241s,-,Data,-,0x01,0x0C,-,-,1.6228 MHz
,18.938246s,-,Data,-,0x08,0x00,-,-,1.6113 MHz
,18.938251s,-,Data,-,0x00,0x00,-,-,1.6178 MHz
,18.938256s,-,Data,-,0x00,0x00,-,-,1.6146 MHz
,18.938261s,-,Data,-,0x00,0x00,TRUE,-,1.6162 MHz
5,18.938267s,SPI_Message,Data,-,0x00,0x03,-,-,1.6195 MHz
,18.938272s,-,Data,-,0x00,0xDE,-,-,1.6277 MHz
,18.938277s,-,Data,-,0x00,0x00,-,-,1.6277 MHz
,18.938282s,-,Data,-,0x01,0x0C,-,-,1.6360 MHz
,18.938287s,-,Data,-,0x00,0x8F,-,-,1.6277 MHz
,18.938291s,-,Data,-,0x00,0x80,-,-,1.6130 MHz
,18.938296s,-,Data,-,0x00,0x00,-,-,1.6261 MHz
,18.938301s,-,Data,-,0x00,0x00,TRUE,-,1.6327 MHz
6,18.938307s,SPI_Message,Data,-,0x00,0xC0,-,-,1.6277 MHz
,18.938312s,-,Data,-,0x00,0xDE,-,-,1.6228 MHz
,18.938317s,-,Data,-,0x00,0x0F,-,-,1.6261 MHz
,18.938322s,-,Data,-,0x01,0x06,-,-,1.6327 MHz
,18.938327s,-,Data,-,0x16,0x00,TRUE,-,1.6327 MHz
7,18.938332s,SPI_Message,Data,-,0x00,0xC3,-,-,1.6146 MHz
,18.938337s,-,Data,-,0x00,0xFC,-,-,1.6017 MHz
,18.938342s,-,Data,-,0x00,0x0F,-,-,1.6178 MHz
,18.938347s,-,Data,-,0x01,0x80,-,-,1.6228 MHz
,18.938352s,-,Data,-,0xD1,0x00,-,-,1.6162 MHz
,18.938357s,-,Data,-,0x15,0x00,-,-,1.6146 MHz
,18.938362s,-,Data,-,0x1B,0x00,-,-,1.6228 MHz
,18.938367s,-,Data,-,0x00,0x00,TRUE,-,1.6228 MHz
8,18.938372s,SPI_Message,Data,-,0x00,0x00,-,-,1.6277 MHz
,18.938377s,-,Data,-,0x00,0xDE,-,-,1.6146 MHz
,18.938382s,-,Data,-,0x00,0x00,-,-,1.6211 MHz
,18.938387s,-,Data,-,0x01,0x00,-,-,1.6130 MHz
